Temp1_ID,Product_ID,S_ID
1,1,1
2,2,2
3,3,2
4,4,2
5,5,2
6,6,3
7,7,3
8,8,3
9,9,3
10,10,3
11,6,4
12,7,4
13,8,4
14,9,4
15,10,4
16,11,5
17,12,5
18,13,6
19,14,6
20,15,6
21,16,7
22,17,7
23,18,8
24,19,8
25,20,9
26,21,9
27,22,7
28,23,7
29,24,7
30,25,7
31,26,7
32,27,7
33,28,7
34,29,7
35,30,8
36,31,8
37,32,8
38,33,8
39,34,8
40,35,8
41,36,8
42,37,8
43,38,8
44,39,8
45,40,8
46,16,8
47,17,8
48,25,8
49,27,8
50,28,8
51,29,8
52,41,8
53,42,8
54,43,8
55,44,8
56,45,8
57,46,8
58,47,8
59,48,8
60,49,8
61,50,8
62,51,10
63,52,10
64,53,10
65,54,10
66,55,10
67,56,10
68,57,10
69,58,10
70,59,10
71,60,10
72,61,10
73,62,10
74,63,10
75,64,10
76,65,10
77,66,10
78,67,10
79,68,10
80,69,10
81,70,10
82,71,10
83,72,10
84,73,10
85,74,10
86,75,10
87,76,10
88,77,10
89,78,11
90,79,11
91,80,12
92,81,12
93,78,13
94,79,13
95,82,14
96,83,14
97,84,14
98,85,15
99,86,15
100,87,15
101,88,15
102,89,15
103,90,16
104,91,16
105,92,17
106,93,17
107,94,17
108,95,17
109,96,17
110,97,18
111,98,18
112,99,18
113,100,18
114,101,18
115,102,18
116,103,18
117,104,18
118,105,18
119,106,18
120,107,18
121,108,18
122,109,18
123,110,18
124,111,18
125,112,18
126,113,18
127,114,18
128,115,18
129,116,18
130,117,18
131,118,18
132,119,18
133,120,18
134,121,18
135,122,9
136,123,19
137,124,19
138,125,19
139,126,19
140,127,19
141,128,19
142,129,19
143,130,19
144,131,19
145,132,19
146,133,19
147,134,19
148,135,19
149,136,19
150,137,19
151,138,19
152,139,19
153,140,19
154,141,19
155,142,19
156,143,19
157,144,20
158,145,20
159,146,20
160,147,20
161,144,21
162,145,21
163,146,21
164,147,21
165,148,22
166,149,22
167,150,22
168,151,22
169,152,22
170,153,23
171,154,23
172,155,23
173,156,23
174,157,23
175,158,23
176,159,23
177,160,23
178,161,23
179,162,23
180,163,23
181,164,23
182,153,24
183,154,24
184,155,24
185,156,24
186,157,24
187,158,24
188,159,24
189,160,24
190,161,24
191,162,24
192,163,24
193,164,24
194,165,9
195,166,15
196,167,15
197,168,15
198,169,15
199,170,15
200,171,15
201,172,15
202,173,15
203,166,25
204,167,25
205,168,25
206,169,25
207,170,25
208,171,25
209,172,25
210,174,25
211,175,26
212,176,26
213,175,27
214,176,27
215,177,6
216,178,6
217,179,6
218,180,6
219,181,6
220,182,6
221,183,6
222,184,6
223,185,6
224,186,28
225,187,28
226,188,28
227,189,29
228,190,29
229,191,5
230,192,5
231,193,5
232,194,9
233,195,12
234,196,12
235,197,12
236,198,12
237,199,12
238,200,12
239,201,12
240,202,12
241,203,12
242,204,12
243,205,12
244,206,12
245,207,12
246,208,30
247,209,30
248,210,30
249,211,30
250,212,30
251,213,30
252,214,30
253,215,30
254,216,30
255,217,30
256,218,30
257,219,30
258,220,30
259,221,30
260,222,30
261,223,30
262,224,30
263,225,30
264,226,30
265,227,30
266,228,30
267,229,30
268,230,30
269,231,30
270,232,30
271,233,30
272,234,30
273,235,30
274,236,30
275,237,30
276,238,30
277,239,17
278,240,17
279,241,17
280,242,17
281,243,17
282,244,17
283,228,31
284,245,31
285,234,31
286,246,31
287,238,31
288,247,32
289,240,32
290,248,32
291,242,32
292,243,32
293,244,32
294,249,31
295,250,31
296,227,31
297,251,31
298,252,31
299,253,31
300,254,31
301,255,31
302,233,31
303,235,31
304,236,31
305,256,31
306,257,32
307,258,32
308,257,31
309,240,31
310,258,31
311,243,31
312,259,31
313,260,31
314,261,31
315,262,31
316,247,31
317,263,31
318,248,31
319,264,31
320,265,31
321,266,33
322,267,9
323,268,9
324,269,9
325,270,9
326,270,34
327,271,34
328,272,35
329,273,35
330,274,35
331,275,35
332,276,35
333,277,35
334,278,35
335,279,35
336,280,35
337,281,35
338,282,35
339,283,35
340,284,35
341,285,35
342,286,35
343,287,35
344,288,35
345,289,35
346,290,35
347,291,35
348,292,35
349,293,35
350,294,36
351,295,36
352,296,36
353,297,36
354,298,36
355,299,36
356,300,36
357,301,36
358,302,36
359,303,5
360,304,37
361,305,15
362,306,15
363,307,15
364,308,15
365,305,38
366,305,14
367,309,14
368,308,14
369,310,39
370,311,39
371,312,39
372,313,39
373,314,39
374,315,39
375,316,39
376,317,39
377,318,39
378,319,39
379,320,39
380,321,39
381,322,39
382,323,39
383,324,39
384,325,39
385,326,39
386,327,39
387,328,39
388,329,39
389,330,9
390,331,1
391,332,1
392,333,5
393,334,34
394,335,34
395,336,34
396,337,34
397,338,34
398,339,34
399,340,40
400,341,40
401,342,40
402,343,40
403,344,40
404,345,40
405,346,40
406,347,40
407,348,40
408,349,40
409,350,40
410,351,40
411,352,40
412,353,40
413,354,40
414,355,40
415,356,40
416,357,40
417,358,40
418,359,40
